ESTU_CONSECUTIVO,ESTU_GRADO,COLE_NOM_ESTABLECIMIENTO,COLE_COD_ICFES,COLE_CALENDARIO,COLE_COD_MCPIO,COLE_NOM_MCPIO,COLE_COD_DPTO,COLE_NOM_DPTO,EXA_N_RTAS_CORR_CN,EXA_N_RTAS_CORR_CC,EXA_N_RTAS_CORR_LC,EXA_N_RTAS_CORR_MT,EXA_C_RTAS_CORR_CN,EXA_C_RTAS_CORR_CC,EXA_C_RTAS_CORR_LC,EXA_C_RTAS_CORR_MT,ESTU_GENERO_F,ESTU_GENERO_M,COLE_NATURALEZA_NO,COLE_NATURALEZA_O,COLE_JORNADA_COMPLETA,COLE_JORNADA_MAÑANA,COLE_JORNADA_TARDE,COLE_JORNADA_UNICA,EXA_MODALIDAD_OFF,EXA_MODALIDAD_ON,EXA_MODALIDAD_PA,EXA_MODALIDAD_PAL
23876881,4,I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA,19506,A,91001,LETICIA,91,AMAZONAS,0,0,4,6,0,0,0,0,True,False,False,True,False,True,False,False,False,False,True,False
22952860,7,I.E. INDIGENA SAN JUAN BOSCO,32398,A,91001,LETICIA,91,AMAZONAS,9,5,8,5,1,0,1,0,False,True,False,True,False,False,False,True,False,False,True,False
22509736,7,I.E.I. JOSE EUSTASIO RIVERA,13009,A,97001,MITÚ,97,VAUPES,7,5,8,2,1,0,1,0,True,False,False,True,False,True,False,False,True,False,False,False
23440429,3,I.E. EL RETIRO,49004,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,0,0,11,10,0,0,1,1,True,False,False,True,False,True,False,False,False,False,True,False
845528,8,C.E. EL RECREO,61447,A,95025,EL RETORNO,95,GUAVIARE,20,20,14,17,2,2,2,2,False,True,False,True,False,False,False,True,False,False,True,False
23332867,3,I.E.  LUIS CARLOS GALAN SARMIENTO,10166,A,94001,INÍRIDA,94,GUAINIA,0,0,12,6,0,0,1,0,True,False,False,True,False,True,False,False,False,False,True,False
23599253,5,I.E. INTERNADO EDUARDO CARRANZA,19432,A,99001,PUERTO CARREÑO,99,VICHADA,13,7,11,7,1,1,1,1,True,False,False,True,True,False,False,False,True,False,False,False
21990180,5,I.E. INTERNADO SILVINO CARO HEREDIA,32369,A,99773,CUMARIBO,99,VICHADA,11,14,13,13,1,2,1,1,True,False,False,True,False,True,False,False,False,False,True,False
21989505,6,C.E. EL TROMPILLO,6640,A,99524,LA PRIMAVERA,99,VICHADA,4,5,3,6,0,0,0,0,False,True,False,True,False,True,False,False,False,False,True,False
22886859,4,I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA,19504,A,91001,LETICIA,91,AMAZONAS,0,0,11,8,0,0,1,1,True,False,False,True,False,True,False,False,False,False,True,False
